"PriorityRank","RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","OwnerID","OwnerName","OwnerTeam","MinTestLevel","LastGoodBuild","InterveningBuilds","Cases","RigHours","TestMinutes","CumulativeRigHours","PriorityScore","ActionCode","IsThisWeek","RecommendedAction"
"11","REQ-0340","The system shall provide flight control interface behaviour case 340","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-006","Farid Saltzman","Ground Segment","Integration","42","27","3","0.00","566","39.00","88.00","RERUN","1","Evidence was valid at build 42 but the subsystem has changed in 27 builds since. Re-run on the release candidate."
"12","REQ-0401","The interface shall exchange, without loss, payload release mechanism behaviour case 401","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-016","Priya Quintana","Payload","Integration","41","25","1","0.00","105","39.00","88.00","RERUN","1","Evidence was valid at build 41 but the subsystem has changed in 25 builds since. Re-run on the release candidate."
"13","REQ-0036","The system shall provide flight control interface behaviour case 36","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-005","Elena Lindqvist","Avionics","Integration","66","16","2","2.50","189","41.50","88.00","RERUN","1","Evidence was valid at build 66 but the subsystem has changed in 16 builds since. Re-run on the release candidate."
"14","REQ-0157","The payload shall inhibit release when payload release mechanism behaviour case 157","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-001","Aditi Halvorsen","Avionics","HIL","68","14","4","2.50","325","44.00","88.00","RERUN","1","Evidence was valid at build 68 but the subsystem has changed in 14 builds since. Re-run on the release candidate."
"15","REQ-0217","The payload shall inhibit release when payload release mechanism behaviour case 217","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","HIL","40","25","1","2.50","96","46.50","88.00","RERUN","1","Evidence was valid at build 40 but the subsystem has changed in 25 builds since. Re-run on the release candidate."
"16","REQ-0225","The payload shall inhibit release when flight control interface behaviour case 225","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","HIL","51","23","1","2.50","32","49.00","88.00","RERUN","1","Evidence was valid at build 51 but the subsystem has changed in 23 builds since. Re-run on the release candidate."
"17","REQ-0252","The payload shall inhibit release when payload release mechanism behaviour case 252","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-004","Dmitri Eriksen","Payload","HIL","49","22","4","2.50","384","51.50","88.00","RERUN","1","Evidence was valid at build 49 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"18","REQ-0350","The payload shall inhibit release when flight control interface behaviour case 350","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","HIL","30","33","1","2.50","104","54.00","88.00","RERUN","1","Evidence was valid at build 30 but the subsystem has changed in 33 builds since. Re-run on the release candidate."
"19","REQ-0359","The payload shall inhibit release when flight control interface behaviour case 359","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-005","Elena Lindqvist","Avionics","HIL","54","22","4","2.50","335","56.50","88.00","RERUN","1","Evidence was valid at build 54 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"20","REQ-0372","The payload shall inhibit release when flight control interface behaviour case 372","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","HIL","29","33","4","2.50","259","59.00","88.00","RERUN","1","Evidence was valid at build 29 but the subsystem has changed in 33 builds since. Re-run on the release candidate."
"21","REQ-0429","The payload shall inhibit release when payload release mechanism behaviour case 429","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-019","Sana Nakamura","Integration & Test","HIL","41","25","1","2.50","147","61.50","88.00","RERUN","1","Evidence was valid at build 41 but the subsystem has changed in 25 builds since. Re-run on the release candidate."
"22","REQ-0472","The payload shall inhibit release when flight control interface behaviour case 472","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-016","Priya Quintana","Payload","HIL","32","33","3","2.50","247","64.00","88.00","RERUN","1","Evidence was valid at build 32 but the subsystem has changed in 33 builds since. Re-run on the release candidate."
"23","REQ-0478","The subsystem shall complete, within budget, flight control interface behaviour case 478","Performance","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-014","Nils Castellan","Ground Segment","HIL","64","18","2","2.50","342","66.50","88.00","RERUN","1","Evidence was valid at build 64 but the subsystem has changed in 18 builds since. Re-run on the release candidate."
"24","REQ-0060","The payload shall inhibit release when flight control interface behaviour case 60","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-018","Rafael Grigorescu","Ground Segment","HIL","53","22","3","5.00","518","71.50","88.00","RERUN","1","Evidence was valid at build 53 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"25","REQ-0069","The payload shall inhibit release when flight control interface behaviour case 69","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","HIL","59","21","4","5.00","331","76.50","88.00","RERUN","1","Evidence was valid at build 59 but the subsystem has changed in 21 builds since. Re-run on the release candidate."
"26","REQ-0106","The payload shall inhibit release when flight control interface behaviour case 106","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","HIL","42","27","2","5.00","355","81.50","88.00","RERUN","1","Evidence was valid at build 42 but the subsystem has changed in 27 builds since. Re-run on the release candidate."
"27","REQ-0165","The system shall provide payload release mechanism behaviour case 165","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-018","Rafael Grigorescu","Ground Segment","Integration","71","12","4","5.00","544","86.50","88.00","RERUN","1","Evidence was valid at build 71 but the subsystem has changed in 12 builds since. Re-run on the release candidate."
"28","REQ-0166","The payload shall inhibit release when payload release mechanism behaviour case 166","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-005","Elena Lindqvist","Avionics","HIL","54","22","3","5.00","237","91.50","88.00","RERUN","1","Evidence was valid at build 54 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"29","REQ-0167","The payload shall inhibit release when payload release mechanism behaviour case 167","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-011","Katya Fairweather","Integration & Test","HIL","65","16","2","5.00","159","96.50","88.00","RERUN","1","Evidence was valid at build 65 but the subsystem has changed in 16 builds since. Re-run on the release candidate."
"30","REQ-0191","The payload shall inhibit release when payload release mechanism behaviour case 191","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","HIL","65","16","3","5.00","313","101.50","88.00","RERUN","1","Evidence was valid at build 65 but the subsystem has changed in 16 builds since. Re-run on the release candidate."
"31","REQ-0258","The payload shall inhibit release when payload release mechanism behaviour case 258","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-020","Tomas Ustinov","Payload","HIL","36","28","2","5.00","327","106.50","88.00","RERUN","1","Evidence was valid at build 36 but the subsystem has changed in 28 builds since. Re-run on the release candidate."
"32","REQ-0269","The subsystem shall complete, within budget, payload release mechanism behaviour case 269","Performance","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","HIL","51","22","2","5.00","240","111.50","88.00","RERUN","1","Evidence was valid at build 51 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"33","REQ-0300","The payload shall inhibit release when flight control interface behaviour case 300","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-015","Olabisi Jindal","Integration & Test","HIL","55","22","3","5.00","450","116.50","88.00","RERUN","1","Evidence was valid at build 55 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"34","REQ-0439","The payload shall inhibit release when payload release mechanism behaviour case 439","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-017","Quentin Zielinski","Avionics","HIL","51","22","3","5.00","199","121.50","88.00","RERUN","1","Evidence was valid at build 51 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"35","REQ-0528","The payload shall inhibit release when flight control interface behaviour case 528","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","HIL","44","26","3","5.00","591","126.50","88.00","RERUN","1","Evidence was valid at build 44 but the subsystem has changed in 26 builds since. Re-run on the release candidate."
"36","REQ-0280","The payload shall inhibit release when flight control interface behaviour case 280","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","HIL","63","18","4","7.50","327","134.00","88.00","RERUN","1","Evidence was valid at build 63 but the subsystem has changed in 18 builds since. Re-run on the release candidate."
"37","REQ-0349","The payload shall inhibit release when flight control interface behaviour case 349","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-017","Quentin Zielinski","Avionics","HIL","34","31","4","7.50","432","141.50","88.00","RERUN","1","Evidence was valid at build 34 but the subsystem has changed in 31 builds since. Re-run on the release candidate."
"38","REQ-0515","The payload shall inhibit release when payload release mechanism behaviour case 515","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-020","Tomas Ustinov","Payload","HIL","35","28","4","7.50","617","149.00","88.00","RERUN","1","Evidence was valid at build 35 but the subsystem has changed in 28 builds since. Re-run on the release candidate."
"39","REQ-0187","The system shall record, for certification, flight control interface behaviour case 187","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-003","Camille Villalobos","Integration & Test","Field","55","22","1","8.00","66","157.00","88.00","RERUN","1","Evidence was valid at build 55 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"40","REQ-0034","The system shall record, for certification, flight control interface behaviour case 34","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-018","Rafael Grigorescu","Ground Segment","Field","69","14","3","13.00","96","170.00","88.00","RERUN","1","Evidence was valid at build 69 but the subsystem has changed in 14 builds since. Re-run on the release candidate."
"41","REQ-0417","The system shall record, for certification, flight control interface behaviour case 417","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-019","Sana Nakamura","Integration & Test","Field","54","22","3","13.00","524","183.00","88.00","RERUN","0","Evidence was valid at build 54 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"42","REQ-0198","The system shall record, for certification, payload release mechanism behaviour case 198","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-018","Rafael Grigorescu","Ground Segment","Field","60","20","4","15.50","442","198.50","88.00","RERUN","0","Evidence was valid at build 60 but the subsystem has changed in 20 builds since. Re-run on the release candidate."
"43","REQ-0467","The system shall record, for certification, flight control interface behaviour case 467","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-008","Hiroshi Ibarra","Payload","Field","34","31","4","15.50","469","214.00","88.00","RERUN","0","Evidence was valid at build 34 but the subsystem has changed in 31 builds since. Re-run on the release candidate."
"44","REQ-0113","The system shall record, for certification, payload release mechanism behaviour case 113","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","Field","31","29","3","18.50","400","232.50","88.00","RERUN","0","Evidence was valid at build 31 but the subsystem has changed in 29 builds since. Re-run on the release candidate."
"45","REQ-0235","The system shall record, for certification, flight control interface behaviour case 235","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-011","Katya Fairweather","Integration & Test","Field","37","29","3","18.50","385","251.00","88.00","RERUN","0","Evidence was valid at build 37 but the subsystem has changed in 29 builds since. Re-run on the release candidate."
"46","REQ-0154","The system shall record, for certification, payload release mechanism behaviour case 154","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","Field","65","16","4","21.00","308","272.00","88.00","RERUN","0","Evidence was valid at build 65 but the subsystem has changed in 16 builds since. Re-run on the release candidate."
"47","REQ-0308","The system shall record, for certification, flight control interface behaviour case 308","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-005","Elena Lindqvist","Avionics","Field","33","32","4","21.00","501","293.00","88.00","RERUN","0","Evidence was valid at build 33 but the subsystem has changed in 32 builds since. Re-run on the release candidate."
"48","REQ-0035","The payload shall inhibit release when flight control interface behaviour case 35","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","HIL","","0","2","0.00","155","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"49","REQ-0043","The payload shall inhibit release when flight control interface behaviour case 43","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","HIL","","0","1","0.00","201","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"50","REQ-0080","The payload shall inhibit release when flight control interface behaviour case 80","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-011","Katya Fairweather","Integration & Test","HIL","","0","2","0.00","156","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"51","REQ-0109","The payload shall inhibit release when payload release mechanism behaviour case 109","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-016","Priya Quintana","Payload","HIL","","0","1","0.00","180","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"52","REQ-0118","The system shall provide payload release mechanism behaviour case 118","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-006","Farid Saltzman","Ground Segment","Integration","","0","2","0.00","209","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"53","REQ-0137","The system shall provide structural interface behaviour case 137","Functional","MustShip","STRUCT-I","Structural Interface","Safety","P-009","Imani Petrovic","Avionics","Integration","","0","1","0.00","32","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"54","REQ-0141","The interface shall exchange, without loss, payload release mechanism behaviour case 141","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-007","Grace Baptiste","Integration & Test","Integration","","0","1","0.00","150","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"55","REQ-0149","The payload shall inhibit release when payload release mechanism behaviour case 149","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","HIL","","0","1","0.00","205","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"56","REQ-0178","The system shall provide flight control interface behaviour case 178","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-020","Tomas Ustinov","Payload","Integration","","0","1","0.00","143","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"57","REQ-0181","The payload shall inhibit release when payload release mechanism behaviour case 181","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-005","Elena Lindqvist","Avionics","HIL","","0","1","0.00","187","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"58","REQ-0189","The payload shall inhibit release when flight control interface behaviour case 189","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-002","Bruno Oyelaran","Ground Segment","HIL","","0","1","0.00","121","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"59","REQ-0208","The interface shall exchange, without loss, flight control interface behaviour case 208","Interface","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-003","Camille Villalobos","Integration & Test","Integration","","0","2","0.00","103","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"60","REQ-0301","The payload shall inhibit release when structural interface behaviour case 301","Safety","MustShip","STRUCT-I","Structural Interface","Safety","P-006","Farid Saltzman","Ground Segment","HIL","","0","2","0.00","56","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"61","REQ-0306","The system shall provide flight control interface behaviour case 306","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","Integration","","0","1","0.00","16","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"62","REQ-0324","The system shall provide flight control interface behaviour case 324","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","Integration","","0","1","0.00","26","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"63","REQ-0392","The system shall record, for certification, flight control interface behaviour case 392","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-003","Camille Villalobos","Integration & Test","Field","","0","2","0.00","300","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"64","REQ-0412","The system shall record, for certification, payload release mechanism behaviour case 412","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","Field","","0","2","0.00","152","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"65","REQ-0438","The system shall provide flight control interface behaviour case 438","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-020","Tomas Ustinov","Payload","Integration","","0","1","0.00","161","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"66","REQ-0469","The payload shall inhibit release when payload release mechanism behaviour case 469","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-008","Hiroshi Ibarra","Payload","HIL","","0","1","0.00","193","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"67","REQ-0473","The system shall provide payload release mechanism behaviour case 473","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-006","Farid Saltzman","Ground Segment","Integration","","0","1","0.00","93","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"68","REQ-0475","The subsystem shall complete, within budget, payload release mechanism behaviour case 475","Performance","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-008","Hiroshi Ibarra","Payload","HIL","","0","1","0.00","67","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"69","REQ-0493","The payload shall inhibit release when payload release mechanism behaviour case 493","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","HIL","","0","1","0.00","37","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"70","REQ-0514","The payload shall inhibit release when flight control interface behaviour case 514","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-019","Sana Nakamura","Integration & Test","HIL","","0","2","0.00","263","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"71","REQ-0521","The payload shall inhibit release when payload release mechanism behaviour case 521","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","HIL","","0","4","0.00","523","293.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"72","REQ-0026","The payload shall inhibit release when payload release mechanism behaviour case 26","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-008","Hiroshi Ibarra","Payload","HIL","","0","2","2.50","289","295.50","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"73","REQ-0053","The payload shall inhibit release when payload release mechanism behaviour case 53","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","HIL","","0","3","2.50","431","298.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"74","REQ-0169","The subsystem shall complete, within budget, payload release mechanism behaviour case 169","Performance","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-015","Olabisi Jindal","Integration & Test","HIL","","0","2","2.50","291","300.50","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"75","REQ-0336","The payload shall inhibit release when payload release mechanism behaviour case 336","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","HIL","","0","2","2.50","122","303.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"76","REQ-0382","The payload shall inhibit release when flight control interface behaviour case 382","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","HIL","","0","3","2.50","338","305.50","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"77","REQ-0427","The payload shall inhibit release when flight control interface behaviour case 427","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","HIL","","0","2","2.50","265","308.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"78","REQ-0488","The payload shall inhibit release when payload release mechanism behaviour case 488","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-017","Quentin Zielinski","Avionics","HIL","","0","1","2.50","34","310.50","86.00","INDEPENDENT_WITNESS","0","Verified by its own owner against a policy requiring independence. Re-witness with a second engineer; the test need not be re-executed if nothing has changed."
"79","REQ-0089","The system shall record, for certification, payload release mechanism behaviour case 89","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-011","Katya Fairweather","Integration & Test","Field","","0","4","10.00","436","320.50","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"80","REQ-0368","The system shall record, for certification, flight control interface behaviour case 368","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-009","Imani Petrovic","Avionics","Field","","0","4","10.00","630","330.50","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"81","REQ-0503","The system shall record, for certification, structural interface behaviour case 503","Regulatory","MustShip","STRUCT-I","Structural Interface","Safety","P-012","Liam Moreau","Payload","Field","","0","2","10.50","263","341.00","86.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"82","REQ-0014","The payload shall inhibit release when structural interface behaviour case 14","Safety","MustShip","STRUCT-I","Structural Interface","Safety","P-019","Sana Nakamura","Integration & Test","HIL","28","10","1","2.50","169","343.50","84.00","RERUN","0","Evidence was valid at build 28 but the subsystem has changed in 10 builds since. Re-run on the release candidate."
"83","REQ-0092","The payload shall inhibit release when structural interface behaviour case 92","Safety","MustShip","STRUCT-I","Structural Interface","Safety","P-014","Nils Castellan","Ground Segment","HIL","31","9","2","5.00","302","348.50","84.00","RERUN","0","Evidence was valid at build 31 but the subsystem has changed in 9 builds since. Re-run on the release candidate."
"84","REQ-0434","The payload shall inhibit release when structural interface behaviour case 434","Safety","MustShip","STRUCT-I","Structural Interface","Safety","P-005","Elena Lindqvist","Avionics","HIL","60","2","2","2.50","136","351.00","81.00","RERUN","0","Evidence was valid at build 60 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"85","REQ-0099","The system shall provide command & telemetry link behaviour case 99","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-012","Liam Moreau","Payload","Integration","","0","1","0.00","203","351.00","79.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
