"RAIDID","RAIDType","Title","SubsystemCode","SubsystemName","Criticality","OwnerID","OwnerName","OwnerTeam","RaisedDate","DueDate","ClosedDate","Probability","Impact","ExposureScore","ExposureBand","RAIDStatus","IsOpen","IsOverdue","DaysOverdue","AgeDays","MitigationNote"
"RAID-090","Issue","Issue on Flight Control Interface: rig availability is below the rate needed to clear outstanding verification","FLT-CTRL","Flight Control Interface","Safety","P-020","Tomas Ustinov","Payload","2026-01-11","2026-12-21","","5","4","22","Critical","Open","1","0","0","262","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-004","Issue","Issue on Command & Telemetry Link: rig availability is below the rate needed to clear outstanding verification","COMM-LNK","Command & Telemetry Link","Mission","P-020","Tomas Ustinov","Payload","2026-02-09","2026-10-01","","3","5","20","Critical","Mitigating","1","0","0","233","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-015","Issue","Issue on Flight Control Interface: rig availability is below the rate needed to clear outstanding verification","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","2026-01-19","2026-07-21","2026-03-07","3","5","20","Critical","Closed","0","0","0","254","Closed: mitigation completed and evidence attached to the verification record."
"RAID-018","Dependency","Dependency on Payload Release Mechanism: awaiting supplier confirmation before verification can close","REL-MECH","Payload Release Mechanism","Safety","P-002","Bruno Oyelaran","Ground Segment","2026-06-20","2026-10-10","","3","5","20","Critical","Mitigating","1","0","0","102","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-033","Risk","Risk on Ground Control Software: late design change may invalidate completed qualification evidence","GND-CTRL","Ground Control Software","Support","P-012","Liam Moreau","Payload","2026-07-06","2027-04-22","2026-09-20","3","5","20","Critical","Closed","0","0","0","86","Closed: mitigation completed and evidence attached to the verification record."
"RAID-042","Risk","Risk on Power Management: late design change may invalidate completed qualification evidence","PWR-MGMT","Power Management","Mission","P-001","Aditi Halvorsen","Avionics","2025-07-25","2026-07-21","","3","5","20","Critical","Open","1","1","71","432","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-072","Issue","Issue on Payload Release Mechanism: rig availability is below the rate needed to clear outstanding verification","REL-MECH","Payload Release Mechanism","Safety","P-021","Ulrike Dalgleish","Avionics","2026-01-26","2026-08-21","2026-03-21","3","5","20","Critical","Closed","0","0","0","247","Closed: mitigation completed and evidence attached to the verification record."
"RAID-073","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-019","Sana Nakamura","Integration & Test","2025-01-12","2025-10-10","","3","5","20","Critical","Open","1","1","355","626","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-043","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","2025-10-15","2026-04-10","2025-11-30","4","4","18","High","Closed","0","0","0","350","Closed: mitigation completed and evidence attached to the verification record."
"RAID-048","Issue","Issue on Power Management: rig availability is below the rate needed to clear outstanding verification","PWR-MGMT","Power Management","Mission","P-006","Farid Saltzman","Ground Segment","2025-09-07","2026-06-02","2025-11-17","4","4","18","High","Closed","0","0","0","388","Closed: mitigation completed and evidence attached to the verification record."
"RAID-005","Assumption","Assumption on Structural Interface: assumed unchanged from the previous airframe, not yet confirmed","STRUCT-I","Structural Interface","Safety","P-014","Nils Castellan","Ground Segment","2025-08-12","2025-12-08","2025-09-11","5","3","17","High","Closed","0","0","0","414","Closed: mitigation completed and evidence attached to the verification record."
"RAID-009","Issue","Issue on Flight Control Interface: rig availability is below the rate needed to clear outstanding verification","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","2026-04-09","2026-11-26","2026-06-08","5","3","17","High","Closed","0","0","0","174","Closed: mitigation completed and evidence attached to the verification record."
"RAID-027","Risk","Risk on Structural Interface: late design change may invalidate completed qualification evidence","STRUCT-I","Structural Interface","Safety","P-018","Rafael Grigorescu","Ground Segment","2026-04-12","2027-03-02","","5","3","17","High","Mitigating","1","0","0","171","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-068","Risk","Risk on Navigation & Sensor Fusion: late design change may invalidate completed qualification evidence","NAV-SENS","Navigation & Sensor Fusion","Mission","P-014","Nils Castellan","Ground Segment","2026-06-16","2027-05-10","","5","3","17","High","Mitigating","1","0","0","106","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-017","Assumption","Assumption on Flight Control Interface: assumed unchanged from the previous airframe, not yet confirmed","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","2026-03-30","2027-03-19","","2","5","15","High","Open","1","0","0","184","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-021","Issue","Issue on Navigation & Sensor Fusion: rig availability is below the rate needed to clear outstanding verification","NAV-SENS","Navigation & Sensor Fusion","Mission","P-013","Mei Thackeray","Avionics","2025-07-22","2026-02-12","","3","4","14","High","Mitigating","1","1","230","435","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-028","Risk","Risk on Ground Control Software: late design change may invalidate completed qualification evidence","GND-CTRL","Ground Control Software","Support","P-013","Mei Thackeray","Avionics","2026-05-09","2027-04-07","","3","4","14","High","Mitigating","1","0","0","144","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-030","Assumption","Assumption on Diagnostics & Logging: assumed unchanged from the previous airframe, not yet confirmed","DIAG-LOG","Diagnostics & Logging","Support","P-005","Elena Lindqvist","Avionics","2026-03-01","2026-09-22","2026-04-23","4","3","14","High","Closed","0","0","0","213","Closed: mitigation completed and evidence attached to the verification record."
"RAID-036","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","2025-04-13","2026-01-30","","3","4","14","High","Open","1","1","243","535","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-039","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-015","Olabisi Jindal","Integration & Test","2025-06-27","2026-02-06","","3","4","14","High","Open","1","1","236","460","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-053","Assumption","Assumption on Navigation & Sensor Fusion: assumed unchanged from the previous airframe, not yet confirmed","NAV-SENS","Navigation & Sensor Fusion","Mission","P-016","Priya Quintana","Payload","2025-12-08","2025-11-27","2025-12-30","3","4","14","High","Closed","0","0","0","296","Closed: mitigation completed and evidence attached to the verification record."
"RAID-059","Dependency","Dependency on Flight Control Interface: awaiting supplier confirmation before verification can close","FLT-CTRL","Flight Control Interface","Safety","P-013","Mei Thackeray","Avionics","2026-01-23","2026-11-29","2026-04-15","3","4","14","High","Closed","0","0","0","250","Closed: mitigation completed and evidence attached to the verification record."
"RAID-080","Issue","Issue on Ground Control Software: rig availability is below the rate needed to clear outstanding verification","GND-CTRL","Ground Control Software","Support","P-014","Nils Castellan","Ground Segment","2026-02-27","2027-01-08","","3","4","14","High","Mitigating","1","0","0","215","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-084","Dependency","Dependency on Payload Release Mechanism: awaiting supplier confirmation before verification can close","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","2025-11-20","2025-11-09","2026-02-02","4","3","14","High","Closed","0","0","0","314","Closed: mitigation completed and evidence attached to the verification record."
"RAID-001","Issue","Issue on Payload Release Mechanism: rig availability is below the rate needed to clear outstanding verification","REL-MECH","Payload Release Mechanism","Safety","P-015","Olabisi Jindal","Integration & Test","2025-10-27","2026-09-16","","5","2","10","Medium","Open","1","1","14","338","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-011","Dependency","Dependency on Navigation & Sensor Fusion: awaiting supplier confirmation before verification can close","NAV-SENS","Navigation & Sensor Fusion","Mission","P-016","Priya Quintana","Payload","2025-09-03","2025-12-16","2025-09-29","5","2","10","Medium","Closed","0","0","0","392","Closed: mitigation completed and evidence attached to the verification record."
"RAID-014","Assumption","Assumption on Command & Telemetry Link: assumed unchanged from the previous airframe, not yet confirmed","COMM-LNK","Command & Telemetry Link","Mission","P-008","Hiroshi Ibarra","Payload","2026-05-09","2026-09-23","2026-06-13","2","4","10","Medium","Closed","0","0","0","144","Closed: mitigation completed and evidence attached to the verification record."
"RAID-016","Issue","Issue on Flight Control Interface: rig availability is below the rate needed to clear outstanding verification","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","2026-02-26","2026-07-07","2026-03-31","1","5","10","High","Closed","0","0","0","216","Closed: mitigation completed and evidence attached to the verification record."
"RAID-031","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","2026-05-27","2027-01-18","","1","5","10","High","Open","1","0","0","126","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-034","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","2026-06-06","2026-12-26","","5","2","10","Medium","Open","1","0","0","116","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-044","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-019","Sana Nakamura","Integration & Test","2026-03-27","2026-09-06","2026-05-08","2","4","10","Medium","Closed","0","0","0","187","Closed: mitigation completed and evidence attached to the verification record."
"RAID-049","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-004","Dmitri Eriksen","Payload","2026-01-01","2025-12-21","","5","2","10","Medium","Open","1","0","0","272","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-058","Assumption","Assumption on Power Management: assumed unchanged from the previous airframe, not yet confirmed","PWR-MGMT","Power Management","Mission","P-010","Jonas Weatherby","Ground Segment","2025-09-18","2026-01-08","2025-10-16","5","2","10","Medium","Closed","0","0","0","377","Closed: mitigation completed and evidence attached to the verification record."
"RAID-060","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-020","Tomas Ustinov","Payload","2025-10-29","2025-12-18","","1","5","10","High","Open","1","1","286","336","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-064","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","2026-01-19","2026-11-02","2026-04-05","2","4","10","Medium","Closed","0","0","0","254","Closed: mitigation completed and evidence attached to the verification record."
"RAID-065","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-010","Jonas Weatherby","Ground Segment","2025-02-08","2025-04-20","2025-02-25","5","2","10","Medium","Closed","0","0","0","599","Closed: mitigation completed and evidence attached to the verification record."
"RAID-066","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-018","Rafael Grigorescu","Ground Segment","2025-06-11","2026-03-02","","5","2","10","Medium","Open","1","1","212","476","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-071","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-013","Mei Thackeray","Avionics","2026-01-12","2026-03-21","","1","5","10","High","Open","1","1","193","261","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-008","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-021","Ulrike Dalgleish","Avionics","2025-05-01","2025-07-13","","3","3","9","Medium","Open","1","1","444","517","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-025","Risk","Risk on Ground Control Software: late design change may invalidate completed qualification evidence","GND-CTRL","Ground Control Software","Support","P-003","Camille Villalobos","Integration & Test","2026-02-05","2026-04-16","2026-02-22","3","3","9","Medium","Closed","0","0","0","237","Closed: mitigation completed and evidence attached to the verification record."
"RAID-057","Risk","Risk on Diagnostics & Logging: late design change may invalidate completed qualification evidence","DIAG-LOG","Diagnostics & Logging","Support","P-003","Camille Villalobos","Integration & Test","2025-10-19","2026-04-18","2025-12-05","3","3","9","Medium","Closed","0","0","0","346","Closed: mitigation completed and evidence attached to the verification record."
"RAID-062","Dependency","Dependency on Power Management: awaiting supplier confirmation before verification can close","PWR-MGMT","Power Management","Mission","P-006","Farid Saltzman","Ground Segment","2025-04-14","2025-04-03","2025-05-12","3","3","9","Medium","Closed","0","0","0","534","Closed: mitigation completed and evidence attached to the verification record."
"RAID-087","Risk","Risk on Ground Control Software: late design change may invalidate completed qualification evidence","GND-CTRL","Ground Control Software","Support","P-017","Quentin Zielinski","Avionics","2025-06-02","2026-03-22","2025-08-18","3","3","9","Medium","Closed","0","0","0","485","Closed: mitigation completed and evidence attached to the verification record."
"RAID-020","Risk","Risk on Power Management: late design change may invalidate completed qualification evidence","PWR-MGMT","Power Management","Mission","P-002","Bruno Oyelaran","Ground Segment","2025-03-25","2025-10-07","","4","2","8","Medium","Open","1","1","358","554","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-056","Assumption","Assumption on Flight Control Interface: assumed unchanged from the previous airframe, not yet confirmed","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","2025-12-25","2026-10-17","2026-03-13","4","2","8","Medium","Closed","0","0","0","279","Closed: mitigation completed and evidence attached to the verification record."
"RAID-069","Risk","Risk on Command & Telemetry Link: late design change may invalidate completed qualification evidence","COMM-LNK","Command & Telemetry Link","Mission","P-011","Katya Fairweather","Integration & Test","2026-03-09","2026-10-30","2026-05-09","4","2","8","Medium","Closed","0","0","0","205","Closed: mitigation completed and evidence attached to the verification record."
"RAID-078","Issue","Issue on Navigation & Sensor Fusion: rig availability is below the rate needed to clear outstanding verification","NAV-SENS","Navigation & Sensor Fusion","Mission","P-014","Nils Castellan","Ground Segment","2026-05-28","2026-10-08","2026-07-01","1","4","8","Medium","Closed","0","0","0","125","Closed: mitigation completed and evidence attached to the verification record."
"RAID-092","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","2025-12-18","2026-07-30","2026-02-14","4","2","8","Medium","Closed","0","0","0","286","Closed: mitigation completed and evidence attached to the verification record."
"RAID-003","Dependency","Dependency on Payload Release Mechanism: awaiting supplier confirmation before verification can close","REL-MECH","Payload Release Mechanism","Safety","P-018","Rafael Grigorescu","Ground Segment","2025-11-19","2026-11-10","","3","2","6","Medium","Open","1","0","0","315","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-029","Risk","Risk on Diagnostics & Logging: late design change may invalidate completed qualification evidence","DIAG-LOG","Diagnostics & Logging","Support","P-016","Priya Quintana","Payload","2025-05-26","2026-05-15","2025-08-28","3","2","6","Medium","Closed","0","0","0","492","Closed: mitigation completed and evidence attached to the verification record."
"RAID-052","Issue","Issue on Command & Telemetry Link: rig availability is below the rate needed to clear outstanding verification","COMM-LNK","Command & Telemetry Link","Mission","P-008","Hiroshi Ibarra","Payload","2025-12-03","2026-03-24","2025-12-31","2","3","6","Medium","Closed","0","0","0","301","Closed: mitigation completed and evidence attached to the verification record."
"RAID-054","Assumption","Assumption on Navigation & Sensor Fusion: assumed unchanged from the previous airframe, not yet confirmed","NAV-SENS","Navigation & Sensor Fusion","Mission","P-012","Liam Moreau","Payload","2025-07-20","2025-11-04","2025-08-16","3","2","6","Medium","Closed","0","0","0","437","Closed: mitigation completed and evidence attached to the verification record."
"RAID-070","Issue","Issue on Command & Telemetry Link: rig availability is below the rate needed to clear outstanding verification","COMM-LNK","Command & Telemetry Link","Mission","P-008","Hiroshi Ibarra","Payload","2025-12-27","2026-12-26","","2","3","6","Medium","Mitigating","1","0","0","277","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-081","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-001","Aditi Halvorsen","Avionics","2025-09-25","2025-12-07","2025-10-12","2","3","6","Medium","Closed","0","0","0","370","Closed: mitigation completed and evidence attached to the verification record."
"RAID-082","Dependency","Dependency on Navigation & Sensor Fusion: awaiting supplier confirmation before verification can close","NAV-SENS","Navigation & Sensor Fusion","Mission","P-002","Bruno Oyelaran","Ground Segment","2025-04-28","2025-04-17","2025-06-19","2","3","6","Medium","Closed","0","0","0","520","Closed: mitigation completed and evidence attached to the verification record."
"RAID-093","Issue","Issue on Flight Control Interface: rig availability is below the rate needed to clear outstanding verification","FLT-CTRL","Flight Control Interface","Safety","P-009","Imani Petrovic","Avionics","2025-04-21","2025-06-12","","3","2","6","Medium","Open","1","1","475","527","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-095","Issue","Issue on Power Management: rig availability is below the rate needed to clear outstanding verification","PWR-MGMT","Power Management","Mission","P-009","Imani Petrovic","Avionics","2026-03-12","2027-02-06","","3","2","6","Medium","Mitigating","1","0","0","202","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-035","Issue","Issue on Flight Control Interface: rig availability is below the rate needed to clear outstanding verification","FLT-CTRL","Flight Control Interface","Safety","P-005","Elena Lindqvist","Avionics","2025-01-23","2026-01-12","2025-04-27","5","1","5","Medium","Closed","0","0","0","615","Closed: mitigation completed and evidence attached to the verification record."
"RAID-006","Risk","Risk on Power Management: late design change may invalidate completed qualification evidence","PWR-MGMT","Power Management","Mission","P-010","Jonas Weatherby","Ground Segment","2025-08-12","2026-06-02","2025-10-29","4","1","4","Low","Closed","0","0","0","414","Closed: mitigation completed and evidence attached to the verification record."
"RAID-010","Dependency","Dependency on Payload Release Mechanism: awaiting supplier confirmation before verification can close","REL-MECH","Payload Release Mechanism","Safety","P-002","Bruno Oyelaran","Ground Segment","2026-06-27","2027-01-20","2026-08-20","2","2","4","Low","Closed","0","0","0","95","Closed: mitigation completed and evidence attached to the verification record."
"RAID-019","Risk","Risk on Command & Telemetry Link: late design change may invalidate completed qualification evidence","COMM-LNK","Command & Telemetry Link","Mission","P-014","Nils Castellan","Ground Segment","2026-03-29","2026-10-31","2026-05-24","4","1","4","Low","Closed","0","0","0","185","Closed: mitigation completed and evidence attached to the verification record."
"RAID-094","Issue","Issue on Payload Release Mechanism: rig availability is below the rate needed to clear outstanding verification","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","2025-12-23","2026-07-14","2026-02-14","4","1","4","Low","Closed","0","0","0","281","Closed: mitigation completed and evidence attached to the verification record."
"RAID-002","Issue","Issue on Payload Release Mechanism: rig availability is below the rate needed to clear outstanding verification","REL-MECH","Payload Release Mechanism","Safety","P-015","Olabisi Jindal","Integration & Test","2026-06-23","2027-05-10","","1","3","3","Low","Open","1","0","0","99","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-012","Issue","Issue on Payload Release Mechanism: rig availability is below the rate needed to clear outstanding verification","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","2025-05-27","2026-05-14","","3","1","3","Low","Open","1","1","139","491","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-022","Risk","Risk on Ground Control Software: late design change may invalidate completed qualification evidence","GND-CTRL","Ground Control Software","Support","P-015","Olabisi Jindal","Integration & Test","2026-01-31","2026-01-20","","3","1","3","Low","Mitigating","1","0","0","242","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-023","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-016","Priya Quintana","Payload","2025-12-08","2026-12-16","2026-03-17","3","1","3","Low","Closed","0","0","0","296","Closed: mitigation completed and evidence attached to the verification record."
"RAID-024","Dependency","Dependency on Power Management: awaiting supplier confirmation before verification can close","PWR-MGMT","Power Management","Mission","P-018","Rafael Grigorescu","Ground Segment","2025-03-31","2025-06-17","","3","1","3","Low","Mitigating","1","1","470","548","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-026","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","2025-04-15","2025-11-09","","3","1","3","Low","Open","1","1","325","533","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-037","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-017","Quentin Zielinski","Avionics","2025-11-17","2025-11-06","","3","1","3","Low","Open","1","0","0","317","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-038","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-019","Sana Nakamura","Integration & Test","2025-08-25","2026-06-19","","1","3","3","Low","Open","1","1","103","401","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-040","Risk","Risk on Navigation & Sensor Fusion: late design change may invalidate completed qualification evidence","NAV-SENS","Navigation & Sensor Fusion","Mission","P-001","Aditi Halvorsen","Avionics","2025-07-07","2026-07-14","2025-10-14","1","3","3","Low","Closed","0","0","0","450","Closed: mitigation completed and evidence attached to the verification record."
"RAID-046","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-021","Ulrike Dalgleish","Avionics","2025-05-13","2025-11-20","2025-07-01","1","3","3","Low","Closed","0","0","0","505","Closed: mitigation completed and evidence attached to the verification record."
"RAID-079","Assumption","Assumption on Flight Control Interface: assumed unchanged from the previous airframe, not yet confirmed","FLT-CTRL","Flight Control Interface","Safety","P-006","Farid Saltzman","Ground Segment","2025-06-24","2026-04-05","2025-09-07","3","1","3","Low","Closed","0","0","0","463","Closed: mitigation completed and evidence attached to the verification record."
"RAID-085","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","2026-02-27","2026-06-14","","3","1","3","Low","Open","1","1","108","215","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-088","Risk","Risk on Navigation & Sensor Fusion: late design change may invalidate completed qualification evidence","NAV-SENS","Navigation & Sensor Fusion","Mission","P-005","Elena Lindqvist","Avionics","2026-03-04","2026-11-02","2026-05-07","3","1","3","Low","Closed","0","0","0","210","Closed: mitigation completed and evidence attached to the verification record."
"RAID-013","Dependency","Dependency on Payload Release Mechanism: awaiting supplier confirmation before verification can close","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","2026-01-15","2026-07-16","","2","1","2","Low","Open","1","1","76","258","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-047","Risk","Risk on Power Management: late design change may invalidate completed qualification evidence","PWR-MGMT","Power Management","Mission","P-010","Jonas Weatherby","Ground Segment","2025-10-03","2026-01-08","","2","1","2","Low","Open","1","1","265","362","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-063","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","2026-05-10","2026-12-02","2026-07-03","2","1","2","Low","Closed","0","0","0","143","Closed: mitigation completed and evidence attached to the verification record."
"RAID-074","Risk","Risk on Navigation & Sensor Fusion: late design change may invalidate completed qualification evidence","NAV-SENS","Navigation & Sensor Fusion","Mission","P-006","Farid Saltzman","Ground Segment","2025-04-03","2025-06-06","","1","2","2","Low","Open","1","1","481","545","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-076","Assumption","Assumption on Flight Control Interface: assumed unchanged from the previous airframe, not yet confirmed","FLT-CTRL","Flight Control Interface","Safety","P-009","Imani Petrovic","Avionics","2026-06-18","2027-03-16","","2","1","2","Low","Open","1","0","0","104","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-007","Risk","Risk on Power Management: late design change may invalidate completed qualification evidence","PWR-MGMT","Power Management","Mission","P-001","Aditi Halvorsen","Avionics","2025-06-29","2025-12-05","2025-08-09","1","1","1","Low","Closed","0","0","0","458","Closed: mitigation completed and evidence attached to the verification record."
"RAID-050","Risk","Risk on Navigation & Sensor Fusion: late design change may invalidate completed qualification evidence","NAV-SENS","Navigation & Sensor Fusion","Mission","P-006","Farid Saltzman","Ground Segment","2026-05-11","2026-10-23","2026-06-22","1","1","1","Low","Closed","0","0","0","142","Closed: mitigation completed and evidence attached to the verification record."
